Visitor/Neutral,Home/Neutral,Home/Away Wins
Portland Trail Blazers,Phoenix Suns,A
Sacramento Kings,Charlotte Hornets,H
Los Angeles Lakers,Indiana Pacers,H
Atlanta Hawks,New York Knicks,H
Brooklyn Nets,New Orleans Pelicans,A
Orlando Magic,Utah Jazz,H
Phoenix Suns,Los Angeles Clippers,H
Charlotte Hornets,Cleveland Cavaliers,H
Toronto Raptors,Detroit Pistons,A
Miami Heat,Philadelphia 76ers,A
Chicago Bulls,Washington Wizards,A
New Orleans Pelicans,Minnesota Timberwolves,A
Memphis Grizzlies,Oklahoma City Thunder,H
Orlando Magic,Denver Nuggets,H
Boston Celtics,Dallas Mavericks,A
Golden State Warriors,Portland Trail Blazers,H
Utah Jazz,Atlanta Hawks,A
Los Angeles Lakers,Milwaukee Bucks,H
Brooklyn Nets,San Antonio Spurs,H
Houston Rockets,Los Angeles Clippers,A
Memphis Grizzlies,Cleveland Cavaliers,H
Sacramento Kings,Indiana Pacers,H
Detroit Pistons,Boston Celtics,H
Washington Wizards,Toronto Raptors,H
New York Knicks,Miami Heat,H
Phoenix Suns,Oklahoma City Thunder,H
Dallas Mavericks,Philadelphia 76ers,A
Minnesota Timberwolves,Denver Nuggets,H
Orlando Magic,Portland Trail Blazers,H
New Orleans Pelicans,Golden State Warriors,H
Utah Jazz,Charlotte Hornets,A
Atlanta Hawks,Brooklyn Nets,H
Chicago Bulls,Detroit Pistons,A
Washington Wizards,Philadelphia 76ers,H
Milwaukee Bucks,New York Knicks,A
Sacramento Kings,Memphis Grizzlies,H
Los Angeles Clippers,San Antonio Spurs,A
Houston Rockets,Phoenix Suns,A
Minnesota Timberwolves,Portland Trail Blazers,H
Dallas Mavericks,Toronto Raptors,H
Charlotte Hornets,Boston Celtics,H
Indiana Pacers,Milwaukee Bucks,H
Los Angeles Clippers,Oklahoma City Thunder,H
Denver Nuggets,Los Angeles Lakers,A
Atlanta Hawks,Cleveland Cavaliers,H
Philadelphia 76ers,Detroit Pistons,A
Toronto Raptors,Indiana Pacers,H
Washington Wizards,New York Knicks,A
Chicago Bulls,Orlando Magic,H
Utah Jazz,Miami Heat,H
San Antonio Spurs,Memphis Grizzlies,A
Denver Nuggets,Phoenix Suns,A
New Orleans Pelicans,Portland Trail Blazers,A
Houston Rockets,Sacramento Kings,A
Minnesota Timberwolves,Golden State Warriors,H
Boston Celtics,Toronto Raptors,A
Milwaukee Bucks,Philadelphia 76ers,H
Houston Rockets,Golden State Warriors,H
Los Angeles Clippers,Los Angeles Lakers,A
New Orleans Pelicans,Denver Nuggets,A
Washington Wizards,Detroit Pistons,H
New York Knicks,Brooklyn Nets,A
San Antonio Spurs,Dallas Mavericks,H
Memphis Grizzlies,Oklahoma City Thunder,A
Minnesota Timberwolves,Sacramento Kings,A
Portland Trail Blazers,Utah Jazz,H
Cleveland Cavaliers,Boston Celtics,H
